unique_id,archive_id,time,hour,visit_days,action,tps_fps,novel,card,casual,simulation,strategy,sports,puzzle,board_table,music,racing,action_rpg,command_rpg,mmorpg,shooting,gps,quiz,romance,fight,gamiew_game_id,genre,cost
oq1ovwmutsbz3kwlv21907g66,294747,2020-06-08 23:10:12,23,1,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,,simulation,0
oq1ovwmutsbz3kwlv21907g66,294747,2020-06-08 23:10:12,23,1,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,,command_rpg,0
oq1ovwmutsbz3kwlv21907g66,,2020-06-08 23:32:34,23,1,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,,mmorpg,0
oq1ovwmutsbz3kwlv21907g66,,2020-06-08 23:32:34,23,1,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,,gps,0
oq1ovwmutsbz3kwlv21907g66,,2020-06-08 23:32:34,23,1,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,,action_rpg,0
oq1ovwmutsbz3kwlv21907g66,,2020-06-08 23:32:34,23,1,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,,simulation,0
oq1ovwmutsbz3kwlv21907g66,,2020-06-08 23:32:34,23,1,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,,command_rpg,0
oq1ovwmutsbz3kwlv21907g66,291316,2020-06-08 23:33:00,23,1,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,,mmorpg,0
oq1ovwmutsbz3kwlv21907g66,291316,2020-06-08 23:33:00,23,1,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,,gps,0
oq1ovwmutsbz3kwlv21907g66,291316,2020-06-08 23:33:00,23,1,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,,action_rpg,0
oq1ovwmutsbz3kwlv21907g66,291316,2020-06-08 23:33:00,23,1,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,,simulation,0
oq1ovwmutsbz3kwlv21907g66,291316,2020-06-08 23:33:00,23,1,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,,command_rpg,0
oq1ovwmutsbz3kwlv21907g66,292629,2020-06-08 23:33:31,23,1,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,0,,mmorpg,0
oq1ovwmutsbz3kwlv21907g66,292629,2020-06-08 23:33:31,23,1,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,0,,gps,0
